method,eval_split,physical_perturbation_profile,actual,predicted,count,rate
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Orthoclase,Orthoclase,8,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Pyrite,Pyrite,8,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Quartz,Quartz,8,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Albite,Albite,8,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Calcite,Calcite,8,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Chalcopyrite,Chalcopyrite,8,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Dolomite,Dolomite,8,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Galena,Galena,8,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Hematite,Hematite,8,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Magnetite,Magnetite,8,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Orthoclase,Orthoclase,8,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Pyrite,Pyrite,8,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Quartz,Quartz,8,1.0
ExtraTreesMulticlassMain,validation,calibration_shift_validation_mid,Albite,Albite,8,1.0
ExtraTreesMulticlassMain,validation,calibration_shift_validation_mid,Calcite,Calcite,8,1.0
ExtraTreesMulticlassMain,validation,calibration_shift_validation_mid,Chalcopyrite,Chalcopyrite,8,1.0
ExtraTreesMulticlassMain,validation,calibration_shift_validation_mid,Dolomite,Dolomite,8,1.0
ExtraTreesMulticlassMain,validation,calibration_shift_validation_mid,Galena,Galena,8,1.0
ExtraTreesMulticlassMain,validation,calibration_shift_validation_mid,Hematite,Hematite,8,1.0
ExtraTreesMulticlassMain,validation,calibration_shift_validation_mid,Magnetite,Magnetite,8,1.0
ExtraTreesMulticlassMain,validation,calibration_shift_validation_mid,Orthoclase,Orthoclase,8,1.0
ExtraTreesMulticlassMain,validation,calibration_shift_validation_mid,Pyrite,Pyrite,8,1.0
ExtraTreesMulticlassMain,validation,calibration_shift_validation_mid,Quartz,Quartz,8,1.0
ExtraTreesMulticlassMain,validation,combined_validation_mid,Albite,Albite,8,1.0
ExtraTreesMulticlassMain,validation,combined_validation_mid,Calcite,Calcite,8,1.0
ExtraTreesMulticlassMain,validation,combined_validation_mid,Chalcopyrite,Chalcopyrite,8,1.0
ExtraTreesMulticlassMain,validation,combined_validation_mid,Dolomite,Dolomite,8,1.0
ExtraTreesMulticlassMain,validation,combined_validation_mid,Galena,Galena,8,1.0
ExtraTreesMulticlassMain,validation,combined_validation_mid,Hematite,Hematite,8,1.0
ExtraTreesMulticlassMain,validation,combined_validation_mid,Magnetite,Magnetite,8,1.0
ExtraTreesMulticlassMain,validation,combined_validation_mid,Orthoclase,Orthoclase,8,1.0
ExtraTreesMulticlassMain,validation,combined_validation_mid,Pyrite,Pyrite,8,1.0
